acm_id,Date Submitted,City,State/Region,Full name:,"If applicable, preferred name(s): ",What is your date of birth?,"City Year Site:What site will you serve with, and did you attend a City Year school at that site? (choose from the list of schools)","School:What site will you serve with, and did you attend a City Year school at that site? (choose from the list of schools)",What gender do you identify with?,African American/Black:What is your race/ethnicity (choose all that apply),American Indian/Alaskan Native:What is your race/ethnicity (choose all that apply),Asian:What is your race/ethnicity (choose all that apply),Hispanic/Latino:What is your race/ethnicity (choose all that apply),Middle Eastern:What is your race/ethnicity (choose all that apply),Native Hawaiian or Pacific Islander:What is your race/ethnicity (choose all that apply),White/Caucasian:What is your race/ethnicity (choose all that apply),Other - Write In:What is your race/ethnicity (choose all that apply),What is the highest level of education you have achieved?,Other - Write In:What is the highest level of education you have achieved?,Are you able to tutor and mentor students while speaking a language other than English?,Arabic:Other language ,Cape Verdean Creole :Other language ,Chinese (Cantonese):Other language ,Chinese (Mandarin):Other language ,Haitian Creole:Other language ,French:Other language ,Nepali:Other language ,Polish:Other language ,Spanish:Other language ,Swahili:Other language ,Urdu:Other language ,Vietnamese:Other language ,Other - Write In (Required):Other language ,Do you have teaching or tutoring experience?,Months Teaching,Elementary school (K-5):What grade level(s) have you worked with in the past? Please select all that apply.,Middle school (6-8):What grade level(s) have you worked with in the past? Please select all that apply.,High school (9-12):What grade level(s) have you worked with in the past? Please select all that apply.,Do you have a teaching credential?,Elementary school:Which grade levels would you prefer to work with?,Middle school:Which grade levels would you prefer to work with?,High school:Which grade levels would you prefer to work with?,Would you prefer to support with ELA/literacy or math?,Please indicate the highest level of math in which you are confident in your skills.,Do you know where you will be living during the 2017-2018 school year?,Street address Line 1:SYAddress,Street address line 2:SYAddress,City:SYAddress,State:SYAddress,Zip:SYAddress,Will you be living with other City Year AmeriCorps members during the school year?:SYAddress,Roommate.Names1,Roommate.Names2,Roommate.Names3,Roommate.Names4,How will you travel to your school site?,Manual.Placement
82,,,,Caleb Ihme,,1/19/1995,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,9,,,High School,No,,,,ELA,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
83,,,,Kyle Gorman,,7/28/1992,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,10,Elementary School,,High School,No,Elementary School,Middle School,,Math,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Driving,
84,,,,Mawhiba al-Hasan,,10/18/1995,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,High School/GED,,Yes,,,,,,,,,,,,,Other,Yes,5,,,,Yes,Elementary School,Middle School,,Math,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
85,,,,Jessalyn Ortiz,,9/7/1994,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,6,,Middle School,,No,,,High School,Either/No Preference,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
86,,,,Macella Abrams,,4/3/1996,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,Hispanic/Latino,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,1,,,,No,,Middle School,High School,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
87,,,,Richard Johnson,,7/30/1991,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,3,Elementary School,Middle School,,No,,,,Either/No Preference,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
88,,,,Trever Maloney,,1/20/1992,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,4,,,High School,Yes,Elementary School,,,ELA,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
89,,,,James Swearnger,,9/22/1993,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,Middle School,High School,Math,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
90,,,,Jorge Marquez Garcia,,6/9/1995,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,3,Elementary School,,,No,Elementary School,Middle School,,Either/No Preference,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
91,,,,Tuyen Aalexis Behera,,10/11/1993,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,Hispanic/Latino,,,,,Some College,,No,,,,,,,,,,,,,,Yes,3,,,High School,No,Elementary School,,,ELA,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
92,,,,Richard Rogers,,6/8/1994,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,,,,,,,,,,,,,,Yes,2,Elementary School,,,No,,Middle School,,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Driving,
93,,,,Sang Lee,,9/15/1993,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,,,,No,Elementary School,,High School,Either/No Preference,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
94,,,,Tyamber Laws,,3/14/1992,Chicago,McNair School of Excellence,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,High School,ELA,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Driving,
95,,,,Elizabeth Martinez,,2/17/1992,Chicago,McNair School of Excellence,Gender Nonconforming (GNC),African American/Black,,,Hispanic/Latino,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,7,Elementary School,Middle School,High School,No,,Middle School,High School,Math,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
96,,,,Shelby Vonfeldt,,1/27/1991,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,4,Elementary School,,,Yes,Elementary School,,,ELA,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
97,,,,Edward Worthington,,5/10/1995,Chicago,I did not attend a City Year school,Male,,,,Hispanic/Latino,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,7,,,High School,No,,Middle School,,ELA,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Walking,
98,,,,Destinie Meyer,,4/11/1995,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,High School,Math,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Driving,
99,,,,Tisa Hoffman,,7/31/1995,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,9,,Middle School,,No,,,High School,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
100,,,,Nuzha al-Mohammed,,3/24/1995,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,Yes,Arabic,,,,,,,,,Swahili,,,,No,,,,,,,,,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
101,,,,Aujanay Beals,,2/1/1993,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,10,Elementary School,,,Yes,Elementary School,Middle School,,ELA,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Driving,
102,,,,Seth Sheppard,,7/26/1994,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,High School/GED,,Yes,,,,,,,Nepali,,,,,,,No,,,,,,Elementary School,Middle School,High School,Either/No Preference,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
103,,,,Miqdaad al-Samra,,12/29/1994,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,High School/GED,,Yes,,,,,,,,,Spanish,,,,,No,,,,,,Elementary School,,,Either/No Preference,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
104,,,,Andres Bozmans,,10/20/1992,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,3,,,,No,,Middle School,High School,Math,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
105,,,,Tania Martinez,,3/16/1992,Chicago,Nicholson STEM Academy,Transgender Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,7,,Middle School,High School,Yes,Elementary School,,High School,Either/No Preference,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
106,,,,Charlene Curtis,,8/11/1993,Chicago,Schurz High School,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
107,,,,Vanessa Wallace,,1/19/1994,Chicago,I did not attend a City Year school,Female,,,,Hispanic/Latino,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,4,,,,No,,Middle School,,Math,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
108,,,,Kaitlyn Rash,,1/5/1994,Chicago,I did not attend a City Year school,Transgender Female,African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,6,Elementary School,,High School,No,,,,ELA,Algebra II,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
109,,,,Kendyl Abraham,,8/28/1995,Chicago,I did not attend a City Year school,Transgender Male,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,4,Elementary School,,,No,Elementary School,Middle School,High School,ELA,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Bicycling,
110,,,,Christopher Hut,,1/4/1995,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,10,Elementary School,,,No,,,,Math,Algebra II,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
111,,,,Majdiyya al-Saade,,7/31/1994,Chicago,I did not attend a City Year school,Female,,,,,,,,Other,Master's Desgree,,Yes,,,,,,French,,,Spanish,,,,,Yes,3,,,,No,,Middle School,High School,Either/No Preference,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
112,,,,Azhudrea Amaha,,8/2/1996,Chicago,Dulles School of Excellence,Female,,,,,,,White/Caucasian,,Master's Desgree,,No,,,,,,,,,,,,,,Yes,1,Elementary School,,,No,,,,Either/No Preference,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
113,,,,Celyn Dock,,5/3/1994,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
114,,,,Sammuel Gomez,,12/27/1994,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,1,Elementary School,,,No,,Middle School,High School,Math,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Driving,
115,,,,Maribel Aragon,,6/16/1996,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,3,Elementary School,,,No,,,,Math,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
116,,,,Orawan Nguyen,,6/27/1995,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,1,,Middle School,,No,,,,Either/No Preference,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
117,,,,Hamdaan al-Musa,,5/11/1992,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,High School/GED,,Yes,,,,,,,,,Spanish,,,,,No,,,,,,Elementary School,Middle School,High School,ELA,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
118,,,,Elias Fernandez,,9/29/1995,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Master's Desgree,,No,,,,,,,,,,,,,,Yes,7,Elementary School,,,No,Elementary School,,,ELA,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Driving,
119,,,,Alexis Martinez,,9/8/1995,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,6,,,High School,No,,Middle School,,Math,Trigonometry,No,,,,,,No,NA,NA,NA,NA,Driving,
120,,,,Debbie Villalobos,,1/27/1993,Chicago,Curtis School of Excellence,Male,,,,Hispanic/Latino,,,,,Associate's Degree,,No,,,,,,,,,,,,,,No,,,,,,,,,Math,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Bicycling,
121,,,,Abdul Hai el-Kanan,,7/17/1994,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,,,,,,,,,Spanish,,,,,No,,,,,,Elementary School,,,ELA,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Bicycling,
122,,,,Walter Tucker,,4/28/1993,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,2,Elementary School,Middle School,,No,Elementary School,Middle School,,ELA,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
123,,,,Natanya Mitta,,5/20/1992,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,9,,Middle School,,No,,,High School,Either/No Preference,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Driving,
124,,,,Taylor Lofton,,9/17/1995,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,11,,,,No,Elementary School,Middle School,High School,Either/No Preference,Algebra II,No,,,,,,No,NA,NA,NA,NA,Bicycling,
125,,,,Genia Greenlee,,10/30/1993,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
126,,,,Taylor Fahy,,4/18/1995,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,6,Elementary School,,,No,Elementary School,,,Math,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Bicycling,
127,,,,Destiny Valentine,,2/13/1993,Chicago,Marquette School of Excellence,Male,,,,,,,White/Caucasian,,Master's Desgree,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,High School,Math,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
128,,,,Holly Deleon,,12/1/1992,Chicago,Schurz High School,Female,African American/Black,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,7,,,,No,Elementary School,Middle School,,Math,Algebra II,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
129,,,,Kabeer al-Safi,,6/24/1995,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,Hispanic/Latino,,,,,Bachelor's Degree,,Yes,,,,,,,,,Spanish,Swahili,,,,Yes,1,,Middle School,,No,,Middle School,,Math,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
130,,,,Casie Alferez,,1/15/1995,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,4,,,,No,Elementary School,,,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
131,,,,Natalie Lott,,12/15/1994,Chicago,Kelvyn Park High School,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,Middle School,,ELA,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
132,,,,Madaline Begay,,5/16/1996,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,6,,,,No,Elementary School,Middle School,,Either/No Preference,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
133,,,,Alix Harris,,3/15/1991,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Associate's Degree,,Yes,,,,,,,,,,,,,,Yes,3,,Middle School,,No,,,,Either/No Preference,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
134,,,,Lyric Aldaz,,7/24/1994,Chicago,Myra Bradwell School of Excellence,Female,,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,Middle School,High School,ELA,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Driving,
135,,,,Amber Kelly,,9/13/1996,Chicago,Dvorak School of Excellence,Male,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,,,,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
136,,,,Henda Dennard,,4/27/1994,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,,,,No,,,,Math,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
137,,,,Mytasia Yang,,2/5/1991,Chicago,Collins Academy High School,Male,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,2,,Middle School,High School,Yes,Elementary School,Middle School,,Either/No Preference,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
138,,,,Armando Leon,,10/6/1995,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,No,,,,,,,Middle School,,Math,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
139,,,,Marcella Johnson,,7/10/1995,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,High School/GED,,Yes,,,,,,,,,,,,Vietnamese,,Yes,2,,Middle School,High School,No,Elementary School,Middle School,High School,Math,Algebra II,No,,,,,,No,NA,NA,NA,NA,Driving,
140,,,,Amber Briseno,,5/9/1996,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,2,Elementary School,Middle School,,No,,,,Either/No Preference,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Driving,
141,,,,Maajid el-El-Sayed,,5/12/1992,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Bachelor's Degree,,Yes,,,,,Haitian Creole,,,,,,,,,Yes,2,,,High School,No,,,High School,ELA,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Walking,
142,,,,Johnson Quitoriano,,11/29/1992,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,Elementary School,,,No,Elementary School,Middle School,,ELA,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
143,,,,Cleatus Burgdorff,,2/22/1996,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,Elementary School,,,No,,Middle School,,Math,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Driving,
144,,,,Widdad el-Jabbour,,5/2/1996,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,,,,,,,,,Spanish,,,,,Yes,4,,,,No,,,High School,Math,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
145,,,,Analissia Klier,,12/4/1994,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,ELA,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
146,,,,Irene Gutierrez,,9/21/1995,Chicago,Charles S Deneen School of Excellence,Female,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,No,,,,,,,,High School,Math,Algebra I,No,,,,,,No,NA,NA,NA,NA,Driving,
147,,,,Chiaki Lee,,7/1/1996,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Associate's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,,ELA,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
148,,,,Allison Mufford,,6/22/1995,Chicago,Nicholson STEM Academy,Male,African American/Black,,,,,,,,High School/GED,,No,,,,,,,,,,,,,,Yes,4,,,High School,No,Elementary School,Middle School,High School,ELA,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
149,,,,Justin Knight,,7/29/1993,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,6,,,High School,No,Elementary School,,High School,ELA,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
150,,,,Farhaan el-Fadel,,5/18/1996,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Bicycling,
151,,,,Zahra al-Fahs,,1/17/1991,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,,,,,,,,,Spanish,,,,,No,,,,,,,Middle School,High School,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Bicycling,
152,,,,Brandon Quintana,,12/26/1993,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,6,,Middle School,High School,No,Elementary School,,,Math,Algebra I,No,,,,,,No,NA,NA,NA,NA,Driving,
153,,,,Elijah Jones,,6/13/1993,Chicago,I did not attend a City Year school,Female,,,,,,,,Other,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,Elementary School,Middle School,High School,Yes,,Middle School,High School,Either/No Preference,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
154,,,,Paul Price,,9/1/1992,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,3,Elementary School,,High School,No,Elementary School,,,ELA,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Driving,
155,,,,Tiffany Castaneda,,4/2/1994,Chicago,I did not attend a City Year school,Male,,,,Hispanic/Latino,,,,,Associate's Degree,,No,,,,,,,,,,,,,,Yes,4,,Middle School,,No,,,High School,Math,Algebra II,No,,,,,,No,NA,NA,NA,NA,Bicycling,
156,,,,Rita Lopez,,9/3/1994,Chicago,I did not attend a City Year school,Female,African American/Black,,,Hispanic/Latino,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,9,,,High School,No,Elementary School,Middle School,,Math,Calculus or higher,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
157,,,,Matthew Davis,,4/30/1996,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
158,,,,Sahl el-Mostafa,,10/11/1993,Chicago,I did not attend a City Year school,Male,,,,,,,White/Caucasian,,Bachelor's Degree,,Yes,Arabic,,,,,,,,Spanish,,,,,Yes,2,,,,No,Elementary School,Middle School,High School,Either/No Preference,Algebra II,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
159,,,,Jesse Romero,,9/22/1991,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,3,,,,No,,,High School,Math,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
160,,,,Umaira al-Shahan,,4/27/1995,Chicago,I did not attend a City Year school,Female,African American/Black,,,,,,,,Bachelor's Degree,,Yes,,,,,,,,,,,,,,Yes,5,,,,Yes,,Middle School,,ELA,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
161,,,,Grace Nguyen,,5/15/1993,Chicago,Myra Bradwell School of Excellence,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,7,,,High School,Yes,,,High School,ELA,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Walking,
162,,,,Deisha Watts,,4/20/1995,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,Some College,,No,,,,,,,,,,,,,,Yes,2,,,,No,,Middle School,,Either/No Preference,Algebra II,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
163,,,,Jaiden Brown,,12/12/1992,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,Asian,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,Elementary School,,,No,Elementary School,Middle School,High School,Math,Pre-algebra or lower,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
164,,,,Christopher Copley,,2/2/1991,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,1,Elementary School,Middle School,High School,No,Elementary School,Middle School,High School,Math,Algebra I,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
165,,,,Kasandra Vasquez,,8/7/1996,Chicago,I did not attend a City Year school,Male,,,Asian,,,,,,Some College,,No,,,,,,,,,,,,,,Yes,8,,,High School,No,,Middle School,,ELA,Algebra I,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
166,,,,Thanh-Phong Reeves,,10/27/1991,Chicago,I did not attend a City Year school,Male,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,High School,ELA,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Driving,
167,,,,Scott Werner,,4/25/1991,Chicago,I did not attend a City Year school,Transgender Male,African American/Black,,,,,,,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,6,,,High School,No,,,High School,Either/No Preference,Pre-algebra or lower,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
168,,,,Derrick Grohman,,3/5/1994,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,,,,,White/Caucasian,,High School/GED,,No,,,,,,,,,,,,,,Yes,5,,,High School,No,,Middle School,High School,Either/No Preference,Algebra II,No,,,,,,No,NA,NA,NA,NA,Public Transportation,
169,,,,Fred Bean,,2/17/1996,Chicago,I did not attend a City Year school,Gender Nonconforming (GNC),,,Asian,,,,,,Some College,,No,,,,,,,,,,,,,,No,,,,,,Elementary School,,,Either/No Preference,Calculus or higher,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
170,,,,Vandross Mendoza,,1/10/1991,Chicago,I did not attend a City Year school,Female,,,,,,,White/Caucasian,,Bachelor's Degree,,No,,,,,,,,,,,,,,Yes,2,,,,No,Elementary School,,High School,ELA,Trigonometry,Yes,,,,,,No,NA,NA,NA,NA,Public Transportation,
